Fichier,Chanteur,Chanson
Samantha Sang - Emotion.mp4,Samantha Sang,Emotion
Vanessa Paradis - Tandem .mp4,Vanessa Paradis,Tandem 
Herbert Léonard - Pour le plaisir.mp4,Herbert Léonard,Pour le plaisir
Sacha Distel - Ces mots stupides.mp4,Sacha Distel,Ces mots stupides
Charles Aznavour - Que c'est triste Venise.mp4,Charles Aznavour,Que c'est triste Venise
Les Inconnus - Vice et versa.mp4,Les Inconnus,Vice et versa
Claude François - Pourquoi pleurer (sur un succès d'été).mp4,Claude François,Pourquoi pleurer (sur un succès d'été)
Frankie Valli - Can't take my eyes of you.mp4,Frankie Valli,Can't take my eyes of you
"Michel Sardou - La vie, la mort etc.mp4",Michel Sardou,"La vie, la mort etc"
Karaoké Nuit de folie - Début de soirée _.mp4,Karaoké Nuit de folie,Début de soirée _
Michèle Torr - J'aime.mp4,Michèle Torr,J'aime
Luis Mariano - La fiesta bohémienne.mp4,Luis Mariano,La fiesta bohémienne
Dean Martin - In the chapel in the moonlight.mp4,Dean Martin,In the chapel in the moonlight
Vic Damone - On The Street Where You Live.mp4,Vic Damone,On The Street Where You Live
Sylvie Vartan - Il y a deux filles en moi.mp4,Sylvie Vartan,Il y a deux filles en moi
Salvatore Adamo - Ce Georges (avec Olivia Ruiz).mp4,Salvatore Adamo,Ce Georges (avec Olivia Ruiz)
Serge Reggiani - Ils grimpaient.mp4,Serge Reggiani,Ils grimpaient
Charlotte Church - Bali Ha'i  wvocal.mp4,Charlotte Church,Bali Ha'i  wvocal
Fleetwood Mac - Dreams.mp4,Fleetwood Mac,Dreams
C. Jérôme - Baby Boy.mp4,C. Jérôme,Baby Boy
Florent Pagny - Un ami (avec Marc Lavoine).mp4,Florent Pagny,Un ami (avec Marc Lavoine)
Bill Withers - Ain't No Sunshine.mp4,Bill Withers,Ain't No Sunshine
Anne Murray - I just fall in love again.mp4,Anne Murray,I just fall in love again
Spanish Ballades - Olvidalo.mp4,Spanish Ballades,Olvidalo
Yves Duteil - Clémentine et Léon.mp4,Yves Duteil,Clémentine et Léon
Grease - 13 Summer Nights -  (wvocals).mp4,13 Summer Nights, (wvocals)
Traditional - (Vera Lynn) The Anniversary waltz.mp4,Traditional,(Vera Lynn) The Anniversary waltz
Bob Seger - Night moves.mp4,Bob Seger,Night moves
Children's -Three Blind Mice.mp4,Children's -Three Blind Mice.mp4,
Bernard Lavilliers - On The Road Again.mp4,Bernard Lavilliers,On The Road Again
Helen Reddy - Ain't no way to treat a lady.mp4,Helen Reddy,Ain't no way to treat a lady
Connie Francis - Who's sorry now.mp4,Connie Francis,Who's sorry now
Jenifer - Au soleil.mp4,Jenifer,Au soleil
Hervé Christiani - Il est libre Max.mp4,Hervé Christiani,Il est libre Max
Renaud - C'est mon dernier bal.mp4,Renaud,C'est mon dernier bal
Jean-Jacques Lionel - La danse des canards.mp4,Jean-Jacques Lionel,La danse des canards
Isabelle Boulay - J'ai malà l'amour.mp4,Isabelle Boulay,J'ai malà l'amour
Joe Dassin - Guantanamera.mp4,Joe Dassin,Guantanamera
Les Chats Sauvages - Trois en amour.mp4,Les Chats Sauvages,Trois en amour
Dean Martin - Mambo Italiano wvocals.mp4,Dean Martin,Mambo Italiano wvocals
Zaz - J'ai deux amours.mp4,Zaz,J'ai deux amours
Huey Lewis - Doing It All For My Baby.mp4,Huey Lewis,Doing It All For My Baby
Irish - My wild Irish rose.mp4,Irish,My wild Irish rose
OFKCAR002-02 - Carpenters - Close to You w~mpex.mkv,Carpenters,Close to You w~mpex
The Isley Brothers - This old heart of mine.mp4,The Isley Brothers,This old heart of mine
Showtunes - Almost Like Being In Love (Female Excluding Vocals).mp4,Showtunes,Almost Like Being In Love (Female Excluding Vocals)
Stromae - Carmen.mp4,Stromae,Carmen
Frankie Valli - My eyes adored you.mp4,Frankie Valli,My eyes adored you
Traditional - Take me out to the ballgame.mp4,Traditional,Take me out to the ballgame
Alain Souchon - J'ai 10 ans.mp4,Alain Souchon,J'ai 10 ans
Karaoké La danse de Zorba - Dalida __part1_2.mp4,Karaoké La danse de Zorba,Dalida __part1_2
Carlos - Rosalie.mp4,Carlos,Rosalie
Cat Stevens - Hard headed woman.mp4,Cat Stevens,Hard headed woman
Gilbert Bécaud - Quand il est mort le poète.mp4,Gilbert Bécaud,Quand il est mort le poète
Les Chaussettes Noires - Dactylo rock.mp4,Les Chaussettes Noires,Dactylo rock
Starmania - Le monde est stone (choeurs) [BDFab].avi,Starmania,Le monde est stone (choeurs) [BDFab]
Gospel - The old rugged cross.mp4,Gospel,The old rugged cross
Sylvie Vartan - Si je chante.mp4,Sylvie Vartan,Si je chante
Tom Jones - With these hands.mp4,Tom Jones,With these hands
Natasha St-Pier - Travailler c'est trop dur.mp4,Natasha St-Pier,Travailler c'est trop dur
Elvis Presley - I believe wvocals.mp4,Elvis Presley,I believe wvocals
Julien Clerc - Lili voulait aller danser.mp4,Julien Clerc,Lili voulait aller danser
Gospel - In the sweet bye and bye.mp4,Gospel,In the sweet bye and bye
Tex Ritter & his Texans - I'm Wastin' My Tears On You.mp4,Tex Ritter & his Texans,I'm Wastin' My Tears On You
Brenda Lee - Sweet Nothings.mp4,Brenda Lee,Sweet Nothings
Françoise Hardy - Des ronds dans l'eau.mp4,Françoise Hardy,Des ronds dans l'eau
Karaoké Les enfants du Pirée - Dalida _.mp4,Karaoké Les enfants du Pirée,Dalida _
Johnny Hallyday - T'aimer follement.mp4,Johnny Hallyday,T'aimer follement
Johnny Hallyday - Diego.mp4,Johnny Hallyday,Diego
Serge Lama - L'amitié c'est quand on a pas d'filles.mp4,Serge Lama,L'amitié c'est quand on a pas d'filles
Frank Sinatra - My way (SC).mp4,Frank Sinatra,My way (SC)
Sheila - Oui il faut croire à la vie.mp4,Sheila,Oui il faut croire à la vie
Gilbert Bécaud - Quand Jules est au violon.mp4,Gilbert Bécaud,Quand Jules est au violon
Johnny Cash - Ring Of Fire.mp4,Johnny Cash,Ring Of Fire
Roch Voisine - Hélène.mp4,Roch Voisine,Hélène
Serge Gainsbourg - L'Anamour.mp4,Serge Gainsbourg,L'Anamour
STAR200755-09 - Michael Learns to Rock - The Actor.mkv,Michael Learns to Rock,The Actor
Michel Sardou - Chanter quand même.mp4,Michel Sardou,Chanter quand même
François Valéry - Aimons-nous vivants.mp4,François Valéry,Aimons-nous vivants
Andrews Sisters - Dont sit under the apple tree (with anyone else but me).mp4,Andrews Sisters,Dont sit under the apple tree (with anyone else but me)
Claude François - Reste.mp4,Claude François,Reste
Véronique Sanson - Devine moi.mp4.mp4,Véronique Sanson,Devine moi
Frank Sinatra - You make me feel so young wvocals.mp4,Frank Sinatra,You make me feel so young wvocals
Little Anthony & The Imperials - Going Out Of My Head.mp4,Little Anthony & The Imperials,Going Out Of My Head
Irish - The Orange and the Green.mp4,Irish,The Orange and the Green
Salvatore Adamo - Le carosse d'or.mp4,Salvatore Adamo,Le carosse d'or
STAR200755-15 - VCD - Credits.mkv,VCD,Credits
The Beach Boys - Chapel Of Love.mp4,The Beach Boys,Chapel Of Love
The Four Tops  - It's all in the game.mp4,The Four Tops ,It's all in the game
Stephan Eicher - Mille vies.mp4,Stephan Eicher,Mille vies
Frédéric François - Aimer.mp4,Frédéric François,Aimer
William Sheller - Fier et fou de vous.mp4,William Sheller,Fier et fou de vous
Edith Piaf - L'hymne à l'amour.mp4,Edith Piaf,L'hymne à l'amour
Téléphone - La bombe humaine.mp4,Téléphone,La bombe humaine
Natasha St-Pier - Nos rendez vous.mp4,Natasha St-Pier,Nos rendez vous
Joe Dolce - Shaddap you face .mp4,Joe Dolce,Shaddap you face 
Frank Michael - Toutes les femmes sont belle.mp4,Frank Michael,Toutes les femmes sont belle
Sheila - Première surprise party.mp4,Sheila,Première surprise party
Serge Reggiani - L'arrière saison.mp4,Serge Reggiani,L'arrière saison
Zaz - Paris sera toujours Paris.mp4,Zaz,Paris sera toujours Paris
Renaud - La ballade Nord-Irlandaise.mp4,Renaud,La ballade Nord-Irlandaise
Sylvie Vartan - Cheveux au vent.mp4,Sylvie Vartan,Cheveux au vent
Hugues Aufray - Les crayons de couleur.mp4,Hugues Aufray,Les crayons de couleur
Sacha Distel - Toute la pluie tombe sur moi.mp4,Sacha Distel,Toute la pluie tombe sur moi
Leann Rimes with Reba McEntire - When You Love Someone Like That.mp4,Leann Rimes with Reba McEntire,When You Love Someone Like That
Peter Paul & Mary - Puff The Magic Dragon.mp4,Peter Paul & Mary,Puff The Magic Dragon
Frank Michael - Le petit café du grand amour.mp4,Frank Michael,Le petit café du grand amour
Stacey Kent - Que reste-t-il de nos amours.mp4,Stacey Kent,Que reste-t-il de nos amours
AVCD003-14 - Tom Jones - I Know.mkv,Tom Jones,I Know
Chico & The Gipsies - Couleur café.mp4,Chico & The Gipsies,Couleur café
Françoise Hardy - Tout les garçons et les filles.mp4,Françoise Hardy,Tout les garçons et les filles
Michael Jackson - Thriller.mp4,Michael Jackson,Thriller
Faith Hill and Tim McGraw - Let's Make Love.mp4,Faith Hill and Tim McGraw,Let's Make Love
Rod Stewart - Let's Fall In Love.mp4,Rod Stewart,Let's Fall In Love
Bobby Vee - Devil Or Angel.mp4,Bobby Vee,Devil Or Angel
Frank Sinatra - Girl From Ipanema.mp4,Frank Sinatra,Girl From Ipanema
Frank Michael - Le temps qu'il nous reste.mp4,Frank Michael,Le temps qu'il nous reste
Michel Sardou - Dis-moi.mp4,Michel Sardou,Dis-moi
Faudel - Je veux vivre.mp4,Faudel,Je veux vivre
Florent Pagny - Les murs porteurs.mp4,Florent Pagny,Les murs porteurs
Cat Stevens - Morning has broken.mp4,Cat Stevens,Morning has broken
Tina Arena - Aller plus haut.mp4,Tina Arena,Aller plus haut
Ophélie Winter - Dieu m'a donné la foi.mp4,Ophélie Winter,Dieu m'a donné la foi
Frank Alamo - File file file.mp4,Frank Alamo,File file file
Showtunes - (Phantom of the Opera) Music of the night.mp4,Showtunes,(Phantom of the Opera) Music of the night
AVCD003-08 - Tom Jones - My Elusive Dreams.mkv,Tom Jones,My Elusive Dreams
Alan Jackson  -When somebody loves you.mp4,Alan Jackson  -When somebody loves you.mp4,
Georgette Plana - Sur les bords de la Riviera.mp4,Georgette Plana,Sur les bords de la Riviera
Jean-Louis Aubert - Juste une illusion.mp4,Jean-Louis Aubert,Juste une illusion
Shy'm - Et alors.mp4,Shy'm,Et alors
Shake - Rien n'est plus beau que l'amour.mp4,Shake,Rien n'est plus beau que l'amour
Lou Rawls - You'll never find another love like mine.mp4,Lou Rawls,You'll never find another love like mine
Serge Lama - Les jardins ouvriers (Les illusions).mp4,Serge Lama,Les jardins ouvriers (Les illusions)
Diana Krall - The Look Of Love.mp4,Diana Krall,The Look Of Love
Robert John - Sad Eyes (wvocals).mp4,Robert John,Sad Eyes (wvocals)
OFKCAR001-10 - Carpenters - When I Fall in Love w~mpex.mkv,Carpenters,When I Fall in Love w~mpex
Jean-Jacques Goldman   - Je marche seul.mp4,Jean-Jacques Goldman  ,Je marche seul
Najoua Belyze - Gabriel.mp4,Najoua Belyze,Gabriel
Neil Diamond - Girl You'll Be A Woman Soon.mp4,Neil Diamond,Girl You'll Be A Woman Soon
Natasha St-Pier - Toi qui manques à ma vie.mp4,Natasha St-Pier,Toi qui manques à ma vie
STAR200755-05 - Michael Learns to Rock - Paint My Love.mkv,Michael Learns to Rock,Paint My Love
Liane Foly - Fais-moi une place.mp4,Liane Foly,Fais-moi une place
Souf - Mi amor.mp4,Souf,Mi amor
Georges Milton - Pouet pouet.mp4,Georges Milton,Pouet pouet
Pierre Bachelet - Embrasse-la.mp4,Pierre Bachelet,Embrasse-la
Pierre Bachelet - Elle ne sait faire que Ha.mp4,Pierre Bachelet,Elle ne sait faire que Ha
Sheila - Pendant les vacances.mp4,Sheila,Pendant les vacances
Trammps - Hold Back The Night.mp4,Trammps,Hold Back The Night
Elvis Presley - Moody Blue.mp4,Elvis Presley,Moody Blue
Diana Ross & The Supremes - I Hear A Symphony.mp4,Diana Ross & The Supremes,I Hear A Symphony
Gilbert Bécaud - L'indifférenceS.mp4,Gilbert Bécaud,L'indifférenceS
Robert Cogoi - Les mamans et les papas.mp4,Robert Cogoi,Les mamans et les papas
Véronique Sanson - Besoin de personne.mp4,Véronique Sanson,Besoin de personne
Francis Cabrel - L'encre de tes yeux.mp4,Francis Cabrel,L'encre de tes yeux
Léo Ferré - L'affiche rouge.mp4,Léo Ferré,L'affiche rouge
Michel Sardou - C'est pas du Brahms.mp4,Michel Sardou,C'est pas du Brahms
Ray Price - You're the best thing that's ever happened to me.mp4,Ray Price,You're the best thing that's ever happened to me
Nana Mouskouri - Chiquitita.mp4,Nana Mouskouri,Chiquitita
Richard Anthony - Tchin tchin.mp4,Richard Anthony,Tchin tchin
Englebert Humperdink - Winter world of love.mp4,Englebert Humperdink,Winter world of love
Pierre Perret - Tonton Cristobal.mp4,Pierre Perret,Tonton Cristobal
Daniel Balavoine - Vivre ou survivre.mp4,Daniel Balavoine,Vivre ou survivre
Guy Béart - Les grands principes.mp4,Guy Béart,Les grands principes
Patrick Sébastien - Tourner les serviettes.mp4,Patrick Sébastien,Tourner les serviettes
Frank Sinatra - Strangers in the night wvocals.mp4,Frank Sinatra,Strangers in the night wvocals
Fernandel - Félicie aussi.mp4,Fernandel,Félicie aussi
David Martial - Célimène.mp4,David Martial,Célimène
Hervé Vilard - Je t'aime tant.mp4,Hervé Vilard,Je t'aime tant
Yves Duteil - Comme dans les dessins de Folon.mp4,Yves Duteil,Comme dans les dessins de Folon
France Gall - La declaration d'amour.mp4,France Gall,La declaration d'amour
Traditional - (Oh my darling) Clementine.mp4,Traditional,(Oh my darling) Clementine
"Sacha Distel - Oh, quelle nuit.mp4",Sacha Distel,"Oh, quelle nuit"
Billy Ocean - There'll Be Sad Songs.mp4,Billy Ocean,There'll Be Sad Songs
Gary Puckett and the Union Gap - This Girl Is A Woman Now.mp4,Gary Puckett and the Union Gap,This Girl Is A Woman Now
Rose Royce - Car wash.mp4,Rose Royce,Car wash
Heatwave - (Disco) Boogie nights.mp4,Heatwave,(Disco) Boogie nights
Gloria Gaynor - I will survive.mp4,Gloria Gaynor,I will survive
Gérard De Palmas - Sur la route.mp4,Gérard De Palmas,Sur la route
Angelo Branduardi - Va où le vent te mène.mp4,Angelo Branduardi,Va où le vent te mène
KC & The Sunshine Band - I'm Your Boogie Man.mp4,KC & The Sunshine Band,I'm Your Boogie Man
Olivia Newton John - Magic.mp4,Olivia Newton John,Magic
PMV04-03 - JD ft Mariah Carey - Sweetheart.mp4,JD ft Mariah Carey,Sweetheart
PMV04-11 - Robbie Williams - Millenium.mp4,Robbie Williams,Millenium
Françoise Hardy - Fais-moi une place.mp4,Françoise Hardy,Fais-moi une place
Pierre Grocolas - Fille du vent et du soleil.mp4,Pierre Grocolas,Fille du vent et du soleil
Lorie - Le coup de soleil.mp4,Lorie,Le coup de soleil
Grease - 19 Born to Hand Jive -  (wvocals).mp4,19 Born to Hand Jive, (wvocals)
Karaoké J't'emmène au vent - Louise Attaque _.mp4,Karaoké J't'emmène au vent,Louise Attaque _
Céline Dion - Ordinaire.mp4,Céline Dion,Ordinaire
Gilbert Bécaud - L'amour est mort.mp4,Gilbert Bécaud,L'amour est mort
Christophe Maé - Il est où le bonheur.mp4,Christophe Maé,Il est où le bonheur
Leann Rimes - Commitment.mp4,Leann Rimes,Commitment
Childrens - Mommies little baby loves shortning bread wvocals.mp4,Childrens,Mommies little baby loves shortning bread wvocals
Philippe Lavil - La chica de Cuba.mp4,Philippe Lavil,La chica de Cuba
Régine - Les p'tits papiers.mp4,Régine,Les p'tits papiers
Elvis Presley - Hound dog.mp4,Elvis Presley,Hound dog
Burton Cummings - Stand Tall.mp4,Burton Cummings,Stand Tall
Luis Mariano - C'est magnifique.mp4,Luis Mariano,C'est magnifique
Roy Orbison - It's over.mp4,Roy Orbison,It's over
Véronique Sanson - Morale.mp4,Véronique Sanson,Morale
Alain Souchon - Quand j'serai KO.mp4,Alain Souchon,Quand j'serai KO
Patti Page - Mockin bird thrill.mp4,Patti Page,Mockin bird thrill
Danny Brillant - Suzette.mp4,Danny Brillant,Suzette
Yannick Noah - Aux arbres citoyens.mp4,Yannick Noah,Aux arbres citoyens
Vanessa Paradis - Emmenez-moi.mp4,Vanessa Paradis,Emmenez-moi
Michel Sardou - Allons danser.mp4,Michel Sardou,Allons danser
Gloria Lasso - L'étranger au paradis.mp4,Gloria Lasso,L'étranger au paradis
Crystal Gale - Half the way.mp4,Crystal Gale,Half the way
Doris Day - It's Magic wvocal.mp4,Doris Day,It's Magic wvocal
Serge Reggiani - La vieille.mp4,Serge Reggiani,La vieille
Pierre Perret - Donnez-nous des jardins.mp4,Pierre Perret,Donnez-nous des jardins
Thierry Hazard - Le jerk.mp4,Thierry Hazard,Le jerk
Shania Twain - From this moment on wvocals.mp4,Shania Twain,From this moment on wvocals
Sylvie Vartan - J'ai un problème (avec Johnny Hallyday).mp4,Sylvie Vartan,J'ai un problème (avec Johnny Hallyday)
Dean Martin - Cha cha cha d'amour wvocals.mp4,Dean Martin,Cha cha cha d'amour wvocals
Marvin Gaye - I heard it through the grapevine (wvocals).mp4,Marvin Gaye,I heard it through the grapevine (wvocals)
Yves Montand - Je sais que vous êtes jolies.mp4,Yves Montand,Je sais que vous êtes jolies
Véronique Sanson - Comme je l'imagine .mp4,Véronique Sanson,Comme je l'imagine 
Hélène Ségara - La complainte de la butte.mp4,Hélène Ségara,La complainte de la butte
Tom Jones - Without love (I have nothing).mp4,Tom Jones,Without love (I have nothing)
Ray Stevens - Everything Is Beautiful.mp4,Ray Stevens,Everything Is Beautiful
"Celine Dion with Luciano Pavarotti - I hate you, then I love you.mp4",Celine Dion with Luciano Pavarotti,"I hate you, then I love you"
Mireille Mathieu - Mille colombes.mp4,Mireille Mathieu,Mille colombes
Edith Piaf - Les flons flons du bal.mp4,Edith Piaf,Les flons flons du bal
Joe Dassin - Le chemin de papa.mp4,Joe Dassin,Le chemin de papa
OFKCAR002-06 - Carpenters - I Need to Be in Love w~mpex.mkv,Carpenters,I Need to Be in Love w~mpex
Stéphanie de Monaco - Flash .mp4,Stéphanie de Monaco,Flash 
Larusso - Je survivrai.mp4,Larusso,Je survivrai
Hervé Vilard - Fais la rire.mp4,Hervé Vilard,Fais la rire
Garou - Les rivières de notre enfance (avec Michel Sardou).mp4,Garou,Les rivières de notre enfance (avec Michel Sardou)
Indochine - J'ai demandé à la lune.mp4,Indochine,J'ai demandé à la lune
Traditional - My Old Kentucky Home.mp4,Traditional,My Old Kentucky Home
Louis Armstong - A kiss to build a dream on.mp4,Louis Armstong,A kiss to build a dream on
10CC - I'm not in love.mp4,10CC,I'm not in love
Ottawan - DISCO.mp4,Ottawan,DISCO
Ringo - Quand je suis seul le soir.mp4,Ringo,Quand je suis seul le soir
Isabelle Boulay - Avec le temps.mp4,Isabelle Boulay,Avec le temps
Pacifique - Quand tu serres mon corps.mp4,Pacifique,Quand tu serres mon corps
Vicky Léandros - Après toi.mp4,Vicky Léandros,Après toi
Liane Foly - On a tous le droit.mp4,Liane Foly,On a tous le droit
Saya - Je pense à toi.mp4,Saya,Je pense à toi
Michel Pruvot - De gauche à droite.mp4,Michel Pruvot,De gauche à droite
Crystal Gale - Why have you left the one you left me for.mp4,Crystal Gale,Why have you left the one you left me for
Serge Reggiani - Ma dernière volonté.mp4,Serge Reggiani,Ma dernière volonté
Irish - Sweet Rosie Ogrady.mp4,Irish,Sweet Rosie Ogrady
Jean-Jacques Goldman   - Si tu veux m'essayer.mp4,Jean-Jacques Goldman  ,Si tu veux m'essayer
Caroline Loeb - C'est la ouate.mp4,Caroline Loeb,C'est la ouate
Diana Ross & The Supremes - Baby Love.mp4,Diana Ross & The Supremes,Baby Love
Crystal Gale - If you ever change your mind.mp4,Crystal Gale,If you ever change your mind
Mylène Farmer - Je te rends ton amour.mp4,Mylène Farmer,Je te rends ton amour
AVCD003-02 - Tom Jones - Green Green Grass of Home.mkv,Tom Jones,Green Green Grass of Home
Patriotic - This Is My Country.mp4,Patriotic,This Is My Country
Patriotic - God bless America - LeAnn Rimes wvocal CB.mp4,God bless America,LeAnn Rimes wvocal CB
Georges Brassens - Auprès de mone arbre.mp4,Georges Brassens,Auprès de mone arbre
Mike Brant - L'oiseau noir et l'oiseau blanc.mp4,Mike Brant,L'oiseau noir et l'oiseau blanc
Elvis Presley - The wonder of you.mp4,Elvis Presley,The wonder of you
KC & The Sunshine Band - Get down tonight.mp4,KC & The Sunshine Band,Get down tonight
Lagaff' - Bô le lavabo.mp4,Lagaff',Bô le lavabo
